//Rule ID	Level	Category	Synopsis
14#3	10	RESTRICTIONS ON SPECIFIC FUNCTIONS	None of the following functions should be used directly if possible: ungetc, fopen, fgetpos, ftell, gets, remove, rename, bsearch, qsort, time, date, clock, isalnum, isalpha, iscntrl, islower, isprint, isupper, perror, strerror, calloc, malloc, realloc, exit, fmod.

A.2.4#1	6	NON-LANGUAGE ISSUES	Only one identifier shall be declared on each source line.
A.2.5#1	5	NON-LANGUAGE ISSUES	Only one statement shall appear on each source line.
A.2.5#2	3	NON-LANGUAGE ISSUES	All control statements shall be fully brace enclosed.
A.3.1#2	2	NON-LANGUAGE ISSUES	Every header file shall use #ifndef .. #endif to prevent its body being #included multiple times.
A.5.1#1	6	LEXICAL CONVENTIONS	C++ keywords must not be used as identifiers.

C#1	3	ISSUES IN K&R V. ANSI C	Make sure enums are not mixed with other types.
C#2	5	PREPROCESSING	The #error directive should be used with caution.
C#3	10	ISSUES IN K&R V. ANSI C	Preprocessor directives should begin in column 1 and there should be no white space between the # and the directive keyword.
